b1cdd8c,Tyler Gwynn,4 weeks ago,corrected mistake in wrapper requirements version text sorry I'm tired
fd60bd2,Tyler Gwynn,4 weeks ago,updated version text in wrapper requirements
44c9a1c,Tyler Gwynn,4 weeks ago,changed 'set' to 'put' in wrapper requirements
d0c24b5,simity,4 weeks ago,Fixed mistakes in Grade.php after testing
c8e06a1,shuaibr,4 weeks ago,Grade.php recorded errors
9d6f95e,Sarah Johnston,4 weeks ago,get() works, update_route() works, calls valence_request()
36e3449,Sarah Johnston,4 weeks ago,Merge branch 'master' of https://github.com/Sjohnston3700/CP317_MLS_Project
dae475d,Sarah Johnston,4 weeks ago,Removed request library for php, using curl now
05f0f3c,simity,4 weeks ago,added imports within Grade.php and fixed previous mistakes
edfbf92,Sarah Johnston,4 weeks ago,Added valence_request function in API.php
1bf8d6d,Sarah Johnston,4 weeks ago,API get_who_am_i working
5bf070a,Sarah Johnston,4 weeks ago,Merge branch 'master' of https://github.com/Sjohnston3700/CP317_MLS_Project
05ec532,Sarah Johnston,4 weeks ago,User authentication now works for php, added curl to get who am i
14a8980,simity,4 weeks ago,Added NumericGrade to Grade.php
